文件名,虫子编号,虫子数量
02503.jpg,480,1
02504.jpg,156,9
02507.jpg,156,3
02521.jpg,7,1
02546.jpg,156,3
02556.jpg,156,2
02556.jpg,673,1
02570.jpg,156,2
02587.jpg,156,1
02587.jpg,480,1
02593.jpg,480,1
02609.jpg,156,1
02640.jpg,156,1
02651.jpg,398,1
02666.jpg,156,1
02668.jpg,156,1
02673.jpg,156,1
02702.jpg,156,3
02721.jpg,156,1
02721.jpg,480,1
02729.jpg,156,1
02733.jpg,156,1
02749.jpg,156,1
02764.jpg,156,1
02770.jpg,105,1
02770.jpg,156,2
02814.jpg,156,1
02814.jpg,480,1
02838.jpg,8,1
02838.jpg,156,1
02843.jpg,156,1
02856.jpg,7,1
02860.jpg,115,1
02867.jpg,156,1
02872.jpg,156,2
02875.jpg,156,1
02888.jpg,156,1
02902.jpg,156,1
02902.jpg,280,1
02903.jpg,156,1
02919.jpg,156,1
03015.jpg,156,1
03069.jpg,156,3
03071.jpg,8,1
03073.jpg,280,1
03077.jpg,156,1
03094.jpg,156,1
03148.jpg,156,1
03148.jpg,480,1
03199.jpg,156,2
03213.jpg,156,1
03215.jpg,156,2
03220.jpg,25,1
03220.jpg,156,1
03242.jpg,156,1
03248.jpg,156,1
03248.jpg,280,1
03278.jpg,156,1
03278.jpg,280,1
03289.jpg,156,3
03293.jpg,156,1
03319.jpg,156,2
03345.jpg,156,2
03402.jpg,156,2
03431.jpg,480,2
03440.jpg,156,1
03440.jpg,256,1
03444.jpg,156,2
03457.jpg,105,1
03459.jpg,7,1
03459.jpg,156,2
03469.jpg,398,1
03473.jpg,480,1
03474.jpg,156,1
03502.jpg,392,2
03526.jpg,148,1
03526.jpg,156,3
03540.jpg,480,1
03561.jpg,105,1
03561.jpg,156,3
03561.jpg,256,1
03561.jpg,392,1
03572.jpg,156,1
03572.jpg,430,1
03577.jpg,398,1
03582.jpg,7,1
03591.jpg,156,2
03591.jpg,480,1
03614.jpg,156,1
03614.jpg,256,1
03624.jpg,105,1
03630.jpg,392,1
03675.jpg,156,1
03697.jpg,156,1
03699.jpg,156,1
03702.jpg,256,1
03737.jpg,156,1
03772.jpg,156,1
03772.jpg,256,1
03780.jpg,148,1
03780.jpg,156,1
03790.jpg,480,1
03801.jpg,156,2
03801.jpg,480,1
03808.jpg,105,1
