序号,文件名,虫子编号,中心点x坐标,中心点y坐标,左上角x坐标,左上角y坐标,右下角x坐标,右下角y坐标
64,00550.jpg,156,3953,3541,3840,3437,4065,3645
65,00550.jpg,480,4569,512,4433,377,4706,648
66,00556.jpg,480,2075,3064,1992,2983,2157,3146
67,00588.jpg,156,1409,298,1110,-2,1709,598
68,00588.jpg,156,1785,1582,1229,1211,2341,1953
69,00588.jpg,25,2066,325,1647,0,2485,651
70,00605.jpg,156,4342,1347,4198,1179,4486,1515
71,00613.jpg,480,2866,3490,2674,3309,3059,3672
72,00623.jpg,156,3926,2672,3682,2435,4170,2909
73,00623.jpg,156,2771,2932,2579,2768,2963,3096
74,00623.jpg,156,4206,471,3889,179,4524,764
75,00623.jpg,156,4784,378,4551,221,5018,534
76,00680.jpg,156,3682,787,3331,502,4033,1071
77,00702.jpg,480,3230,1907,3124,1824,3335,1990
78,00702.jpg,480,1987,1018,1763,815,2210,1221
79,00707.jpg,156,3680,2002,3528,1868,3832,2135
80,00707.jpg,156,2875,2653,2685,2494,3065,2812
81,00707.jpg,156,4365,1088,4131,917,4599,1258
82,00723.jpg,156,2825,1311,2548,1045,3103,1576
83,00743.jpg,156,3223,2669,3018,2466,3428,2871
84,00743.jpg,156,1456,3566,1166,3479,1746,3652
85,00743.jpg,398,4729,2731,4617,2596,4842,2867
86,00764.jpg,156,1414,1868,1066,1596,1762,2141
87,00764.jpg,156,3365,336,3096,114,3635,558
88,00778.jpg,156,4298,2429,3942,2172,4653,2686
89,00778.jpg,156,1586,203,1194,-6,1978,413
90,00816.jpg,156,2201,3598,2068,3548,2333,3647
91,00849.jpg,156,4065,301,3529,-18,4602,621
92,00863.jpg,156,2101,2590,1691,2284,2511,2896
93,00874.jpg,156,2611,2967,2252,2617,2970,3317
94,00920.jpg,156,3868,249,3427,-7,4308,505
95,00926.jpg,156,1949,698,1584,314,2314,1082
96,00931.jpg,156,4401,2039,4271,1857,4531,2221
97,00937.jpg,156,2426,703,2047,359,2805,1047
98,00968.jpg,392,3292,1888,3120,1694,3464,2081
99,00977.jpg,235,2843,2863,2543,2605,3142,3121
100,00984.jpg,156,3043,2898,2693,2590,3392,3206
101,00984.jpg,156,4545,1972,4364,1828,4726,2116
102,00984.jpg,156,1885,1252,1692,1016,2078,1488
103,01030.jpg,7,1515,296,1293,122,1737,471
104,01044.jpg,156,2889,314,2570,36,3208,592
105,01044.jpg,156,1541,409,1161,1,1921,817
106,01044.jpg,156,3619,551,3336,194,3902,908
107,01056.jpg,256,3251,2876,3203,2792,3300,2960
108,01059.jpg,156,4110,1737,3923,1546,4297,1928
109,01067.jpg,105,4308,192,3896,0,4721,385
110,01079.jpg,156,2627,2905,2267,2659,2988,3152
111,01079.jpg,480,1942,785,1848,701,2036,869
112,01099.jpg,156,4167,299,3956,102,4378,497
113,01103.jpg,105,3793,1653,3423,1239,4163,2067
114,01117.jpg,156,4693,2994,4568,2864,4817,3124
115,01117.jpg,156,3811,2796,3546,2563,4076,3029
116,01128.jpg,156,4574,2307,4351,2059,4797,2554
117,01128.jpg,156,3106,2039,2841,1875,3372,2203
118,01128.jpg,105,4113,1103,3860,821,4366,1385
119,01133.jpg,156,3002,1776,2602,1434,3402,2118
120,01133.jpg,156,3565,794,3126,464,4005,1124
121,01133.jpg,156,4334,445,3976,86,4692,805
122,01133.jpg,156,3032,3209,2824,3019,3239,3399
123,01133.jpg,156,2977,263,2682,-3,3271,530
124,01133.jpg,256,4096,3574,3891,3492,4300,3656
125,01133.jpg,8,1326,238,1138,83,1513,394
126,01134.jpg,156,4173,1363,3794,969,4551,1756
127,01141.jpg,485,1325,511,1266,428,1385,595
128,01152.jpg,156,3672,3504,3473,3363,3870,3645
129,01152.jpg,156,1562,1969,1134,1581,1990,2357
130,01152.jpg,156,3977,2856,3560,2457,4394,3255
131,01162.jpg,105,3732,577,3603,469,3861,684
132,01184.jpg,156,4250,2364,3783,1935,4718,2793
133,01199.jpg,7,3954,2009,3698,1770,4210,2247
134,01199.jpg,156,3459,2669,3262,2377,3655,2962
135,01199.jpg,105,4081,3317,3768,2987,4394,3647
136,01220.jpg,156,3061,821,2612,443,3509,1199
137,01232.jpg,156,2376,3064,1990,2744,2762,3385
138,01232.jpg,156,1753,3351,1394,3051,2112,3651
139,01246.jpg,156,1939,392,1615,15,2263,769
140,01246.jpg,156,1324,216,1015,-2,1634,434
141,01268.jpg,480,4220,209,4008,19,4433,398
142,01285.jpg,156,2629,969,2382,724,2876,1215
143,01287.jpg,156,1920,831,1529,438,2310,1225
144,01287.jpg,156,4138,1802,3786,1431,4489,2172
145,01296.jpg,156,4004,3246,3681,2950,4327,3541
146,01296.jpg,105,3750,912,3474,628,4027,1197
147,01296.jpg,105,1621,357,1522,249,1720,466
148,01325.jpg,156,3519,1679,3122,1238,3915,2121
149,01325.jpg,105,2942,1037,2612,718,3272,1356
150,01327.jpg,156,2520,297,2186,-8,2855,604
151,01347.jpg,7,3675,3084,3525,2964,3824,3204
152,01347.jpg,148,3281,1085,3040,907,3522,1263
153,01387.jpg,156,4702,456,4454,329,4950,583
154,01393.jpg,156,4195,1113,3953,974,4437,1252
155,01421.jpg,156,1782,215,1530,-1,2033,433
156,01442.jpg,480,4683,905,4575,830,4791,980
157,01444.jpg,156,4032,505,3696,218,4368,791
158,01444.jpg,156,2155,128,1773,1,2537,255
159,01444.jpg,156,2822,373,2534,80,3110,666
160,01472.jpg,156,1519,1758,1199,1399,1840,2116
161,01472.jpg,156,1718,968,1443,740,1993,1197
162,01480.jpg,105,2011,1377,1863,1267,2158,1488
163,01507.jpg,7,3616,893,3461,769,3771,1018
164,01507.jpg,156,3474,1435,3300,1239,3649,1632
165,01507.jpg,235,4171,3143,3917,2652,4426,3635
166,01563.jpg,156,3131,801,2829,452,3434,1151
167,01590.jpg,148,3914,824,3672,607,4156,1041
168,01590.jpg,148,3400,1828,3126,1575,3674,2081
169,01605.jpg,392,3332,55,3248,0,3416,111
170,01645.jpg,156,3480,854,3359,771,3600,937
171,01645.jpg,392,3051,211,2718,-3,3383,426
172,01645.jpg,392,3953,173,3715,-1,4191,349
173,01650.jpg,480,1376,243,1272,157,1480,329
174,01654.jpg,156,4253,1247,3980,986,4526,1507
175,01671.jpg,156,3572,3594,3343,3537,3801,3651
176,01686.jpg,156,2320,577,2072,471,2567,684
177,01710.jpg,156,3484,981,3099,613,3868,1348
178,01710.jpg,156,1991,179,1463,0,2519,357
179,01710.jpg,148,4052,341,3511,3,4593,678
180,01721.jpg,156,3581,3269,3468,3155,3694,3384
181,01723.jpg,148,2292,230,2191,154,2393,306
182,01731.jpg,148,2630,999,2343,806,2917,1192
183,01734.jpg,480,3935,59,3870,-2,4001,121
184,01748.jpg,6,3649,284,3348,-6,3949,576
185,01784.jpg,156,4516,606,4309,364,4724,848
186,01816.jpg,156,1919,1670,1509,1351,2329,1989
187,01816.jpg,156,1568,1811,1130,1378,2006,2244
188,01816.jpg,156,2827,438,2496,109,3158,768
189,01816.jpg,156,4176,1637,3865,1276,4487,1999
190,01816.jpg,156,4197,1023,3772,726,4621,1320
191,01816.jpg,156,2415,2514,1987,2061,2843,2966
192,01816.jpg,156,3849,2317,3386,1961,4312,2673
193,01816.jpg,156,2770,845,2219,487,3322,1204
194,01823.jpg,156,2831,544,2689,462,2973,627
195,01825.jpg,156,1669,1865,1365,1651,1973,2080
196,01836.jpg,156,4004,1341,3769,1056,4239,1626
197,01866.jpg,156,1334,1493,1216,1383,1453,1603
198,01866.jpg,156,2756,1774,2529,1541,2983,2006
199,01878.jpg,156,3097,556,2708,201,3485,910
200,01908.jpg,480,2021,849,1945,764,2097,935
201,01927.jpg,105,2992,2709,2649,2335,3334,3083
202,01933.jpg,41,4476,3584,4316,3524,4636,3644
203,01933.jpg,480,1148,1779,1049,1571,1246,1987
204,01933.jpg,105,2326,1830,2242,1628,2410,2031
205,01955.jpg,156,4157,1888,4025,1739,4288,2036
206,02023.jpg,156,2567,2268,2411,2062,2724,2474
207,02023.jpg,398,4106,3516,3934,3387,4278,3644
208,02026.jpg,156,1912,622,1479,292,2344,951
209,02034.jpg,256,3892,3086,3791,2903,3993,3269
210,02048.jpg,7,3900,1457,3808,1340,3993,1573
211,02064.jpg,256,4417,1941,4222,1555,4612,2328
212,02069.jpg,105,2839,3249,2716,3150,2963,3349
213,02077.jpg,156,1756,107,1617,12,1895,203
214,02089.jpg,148,3123,2109,2896,1850,3350,2369
215,02100.jpg,156,4162,2990,4028,2886,4296,3094
216,02100.jpg,480,4078,699,3905,541,4252,857
217,02107.jpg,156,1764,2541,1477,2286,2052,2796
218,02124.jpg,156,1500,3403,1077,3158,1923,3648
219,02127.jpg,156,4208,1137,3844,882,4572,1392
220,02127.jpg,105,1078,2777,911,2564,1246,2989
221,02138.jpg,156,2585,2892,2146,2426,3023,3357
222,02153.jpg,156,3454,882,3315,783,3594,982
223,02153.jpg,256,2487,3415,2382,3211,2591,3620
224,02182.jpg,156,2960,1730,2588,1357,3332,2104
225,02202.jpg,480,3310,154,3174,-7,3446,315
226,02202.jpg,387,3250,3404,3138,3268,3361,3540
227,02205.jpg,156,3950,141,3662,6,4237,275
228,02229.jpg,8,1363,3318,1167,3167,1559,3468
229,02256.jpg,8,1690,1985,1611,1856,1769,2114
230,02261.jpg,156,3376,3504,3212,3404,3539,3603
231,02265.jpg,156,4080,1867,3791,1453,4370,2281
232,02265.jpg,156,3234,1233,2918,865,3551,1601
233,02269.jpg,480,2026,534,1949,452,2103,615
234,02282.jpg,105,2145,386,2062,281,2229,491
235,02283.jpg,7,4881,3514,4753,3422,5009,3606
236,02283.jpg,156,1703,3312,1457,3104,1949,3521
237,02297.jpg,480,3653,1443,3500,1313,3806,1573
238,02328.jpg,156,4149,2137,3816,1859,4481,2414
239,02331.jpg,156,2021,2265,1836,2161,2206,2369
240,02344.jpg,105,3912,2330,3700,2050,4124,2611
241,02393.jpg,156,2939,148,2653,-4,3224,301
242,02393.jpg,8,3778,70,3652,0,3905,141
243,02407.jpg,156,1437,2889,1027,2458,1848,3320
244,02414.jpg,8,4217,1985,4071,1834,4362,2135
245,02419.jpg,156,4303,280,3918,15,4688,545
246,02428.jpg,156,3134,1645,2878,1476,3390,1813
247,02434.jpg,156,2617,3381,2463,3271,2771,3491
248,02434.jpg,156,2402,601,2195,435,2609,767
249,02458.jpg,7,2350,1477,2196,1317,2505,1637
250,02458.jpg,256,1853,779,1707,693,1998,866
251,02464.jpg,8,2332,3155,2166,3020,2498,3290
252,02472.jpg,7,3641,1796,3484,1670,3798,1923
253,02475.jpg,156,4224,3113,3962,2903,4487,3323
254,02479.jpg,156,3185,1454,2842,1092,3527,1815
255,02485.jpg,392,926,1309,856,1228,996,1391
256,02503.jpg,480,2432,1874,2337,1698,2528,2049
257,02504.jpg,156,3737,1602,3386,1236,4088,1968
258,02504.jpg,156,2026,2884,1723,2626,2330,3142
259,02504.jpg,156,2422,3146,2247,2910,2598,3382
260,02504.jpg,156,3671,1035,3419,863,3923,1206
261,02504.jpg,156,2233,247,1979,14,2487,480
262,02504.jpg,156,3642,423,3351,141,3933,704
263,02504.jpg,156,1329,2407,1078,2212,1580,2602
264,02504.jpg,156,4139,2101,3988,1991,4290,2211
265,02504.jpg,156,1612,93,1423,0,1802,185
266,02507.jpg,156,2053,400,1598,-22,2509,823
267,02507.jpg,156,1644,2100,1281,1759,2008,2442
268,02507.jpg,156,3620,2101,3287,1877,3953,2324
269,02521.jpg,7,3625,1206,3470,1085,3781,1327
270,02546.jpg,156,3860,3256,3439,2887,4281,3624
271,02546.jpg,156,1826,2053,1301,1660,2350,2446
272,02546.jpg,156,1705,2722,1483,2473,1927,2971
273,02556.jpg,156,3733,719,3515,387,3952,1052
274,02556.jpg,156,3058,1457,2675,1062,3440,1851
275,02556.jpg,673,1497,827,1148,448,1846,1207
276,02570.jpg,156,2725,3426,2324,3197,3126,3654
277,02570.jpg,156,1537,2617,1176,2280,1897,2953
278,02587.jpg,156,3974,2542,3550,2104,4398,2979
279,02587.jpg,480,2076,3167,1932,3078,2221,3256
280,02593.jpg,480,3454,2020,3303,1917,3604,2123
281,02609.jpg,156,3455,3332,3056,3008,3854,3655
282,02640.jpg,156,2888,2507,2433,2179,3343,2836
283,02651.jpg,398,2499,928,2309,671,2689,1186
284,02666.jpg,156,3910,3347,3514,3036,4305,3659
285,02668.jpg,156,3594,3611,3501,3575,3686,3647
286,02673.jpg,156,4002,2007,3813,1891,4192,2124
287,02702.jpg,156,3672,3061,3276,2692,4068,3429
288,02702.jpg,156,2793,3189,2362,2818,3224,3560
289,02702.jpg,156,3419,3337,3043,3026,3795,3648
290,02721.jpg,156,2677,1356,2392,1127,2962,1585
291,02721.jpg,480,2021,388,1941,306,2102,470
292,02729.jpg,156,1903,814,1662,606,2143,1023
293,02733.jpg,156,4281,2692,4175,2565,4387,2819
294,02749.jpg,156,2845,3209,2518,2905,3173,3514
295,02764.jpg,156,4172,224,3643,-2,4700,452
296,02770.jpg,156,4026,786,3593,426,4460,1145
297,02770.jpg,156,3073,305,2728,0,3418,611
298,02770.jpg,105,1739,1595,1571,1331,1907,1859
299,02814.jpg,156,3527,1335,3221,1068,3833,1602
300,02814.jpg,480,2450,1568,2269,1347,2631,1790
301,02838.jpg,156,1891,2318,1576,1991,2206,2645
302,02838.jpg,8,2969,1653,2885,1544,3053,1763
303,02843.jpg,156,4750,1079,4518,900,4981,1257
304,02856.jpg,7,2670,2783,2572,2704,2767,2862
305,02860.jpg,115,4500,1167,4286,832,4713,1502
306,02867.jpg,156,4259,3025,4085,2815,4432,3235
307,02872.jpg,156,3152,2022,2879,1658,3425,2386
308,02872.jpg,156,3088,3355,2691,3049,3486,3660
309,02875.jpg,156,4248,2792,4165,2667,4330,2917
310,02888.jpg,156,3862,3392,3632,3170,4092,3614
311,02902.jpg,156,4806,1686,4608,1574,5004,1799
312,02902.jpg,280,1796,395,1610,238,1982,552
313,02903.jpg,156,4164,599,3908,395,4420,803
314,02919.jpg,156,3018,2435,2800,2234,3236,2636
315,03015.jpg,156,3301,96,3129,0,3473,193
316,03069.jpg,156,3026,3028,2562,2671,3490,3386
317,03069.jpg,156,3161,2025,2978,1922,3343,2128
318,03069.jpg,156,3531,3114,3366,2953,3696,3275
319,03071.jpg,8,4504,2571,4377,2397,4630,2746
320,03073.jpg,280,3517,101,3253,4,3780,198
321,03077.jpg,156,3918,2107,3708,1909,4128,2306
322,03094.jpg,156,4339,2395,4203,2271,4475,2518
323,03148.jpg,156,4445,3570,4280,3490,4609,3650
324,03148.jpg,480,3011,149,2812,-8,3209,306
325,03199.jpg,156,2952,3543,2775,3439,3128,3647
326,03199.jpg,156,3686,2770,3574,2682,3798,2858
327,03213.jpg,156,2832,2985,2608,2789,3057,3180
328,03215.jpg,156,2717,1469,2539,1239,2896,1700
329,03215.jpg,156,3518,254,3171,-5,3866,513
330,03220.jpg,156,2981,97,2717,0,3246,195
331,03220.jpg,25,1139,2327,1035,2239,1242,2415
332,03242.jpg,156,3721,3042,3243,2749,4199,3336
333,03248.jpg,156,4209,2690,3989,2418,4430,2961
334,03248.jpg,280,1654,3377,1479,3097,1829,3658
335,03278.jpg,156,2150,2085,1869,1814,2431,2356
336,03278.jpg,280,2245,732,2112,646,2378,819
337,03289.jpg,156,1364,829,1057,498,1671,1161
338,03289.jpg,156,3828,1745,3642,1585,4015,1905
339,03289.jpg,156,3963,224,3554,-8,4372,456
340,03293.jpg,156,3010,2750,2647,2375,3373,3126
341,03319.jpg,156,2618,2783,2093,2480,3144,3086
342,03319.jpg,156,2958,2613,2687,2338,3229,2888
343,03345.jpg,156,1805,1165,1379,772,2231,1558
344,03345.jpg,156,3323,691,3033,462,3614,919
345,03402.jpg,156,4286,1944,4134,1766,4438,2121
346,03402.jpg,156,1632,611,1498,441,1765,781
347,03431.jpg,480,1072,2385,892,2229,1253,2541
348,03431.jpg,480,2745,1844,2634,1736,2855,1953
349,03440.jpg,156,2464,3398,2242,3146,2686,3650
350,03440.jpg,256,3247,3554,3192,3457,3302,3651
351,03444.jpg,156,4069,360,3691,-1,4447,723
352,03444.jpg,156,4036,3595,3743,3539,4330,3650
353,03457.jpg,105,2900,1151,2762,970,3038,1333
354,03459.jpg,7,2092,2927,2005,2824,2178,3030
355,03459.jpg,156,2201,3407,1889,3166,2514,3648
356,03459.jpg,156,2118,3274,1828,3003,2409,3545
357,03469.jpg,398,3892,585,3812,491,3972,678
358,03473.jpg,480,1995,309,1895,248,2096,370
359,03474.jpg,156,4193,1180,3885,788,4501,1572
360,03502.jpg,392,1433,128,1096,0,1770,257
361,03502.jpg,392,4314,871,4196,775,4433,966
362,03526.jpg,156,2690,2169,2252,1850,3128,2489
363,03526.jpg,156,1996,2908,1596,2564,2397,3251
364,03526.jpg,156,1836,2687,1608,2487,2063,2886
365,03526.jpg,148,4159,1216,3963,989,4356,1442
366,03540.jpg,480,3933,2321,3874,2277,3992,2364
367,03561.jpg,156,2067,2573,1687,2226,2447,2920
368,03561.jpg,156,3397,2881,2956,2460,3837,3302
369,03561.jpg,156,1808,2318,1463,2131,2153,2505
370,03561.jpg,256,4032,2560,3890,2173,4174,2947
371,03561.jpg,105,2368,1961,1998,1648,2738,2275
372,03561.jpg,392,4084,3180,3839,2941,4330,3418
373,03572.jpg,156,4178,3496,3972,3349,4385,3643
374,03572.jpg,430,4030,2283,3777,2139,4282,2427
375,03577.jpg,398,1628,211,1364,-32,1892,455
376,03582.jpg,7,3885,1133,3733,1025,4037,1240
377,03591.jpg,156,4281,2778,3994,2448,4568,3107
378,03591.jpg,156,2735,2846,2539,2712,2932,2980
379,03591.jpg,480,2033,883,1946,805,2120,962
380,03614.jpg,156,3508,864,3208,628,3807,1100
381,03614.jpg,256,1464,983,998,711,1929,1254
382,03624.jpg,105,2476,1609,2081,1287,2871,1931
383,03630.jpg,392,3561,226,3461,61,3661,391
384,03675.jpg,156,3608,3357,3259,3081,3958,3633
385,03697.jpg,156,2547,724,2397,548,2696,899
386,03699.jpg,156,3481,3309,3084,2987,3878,3631
387,03702.jpg,256,4511,410,4393,231,4629,588
388,03737.jpg,156,1369,3231,1157,3025,1581,3437
389,03772.jpg,156,3445,1293,3279,1146,3612,1440
390,03772.jpg,256,3424,1974,3301,1779,3546,2169
391,03780.jpg,156,3086,760,2806,569,3366,951
392,03780.jpg,148,2578,536,2341,284,2815,788
393,03790.jpg,480,1308,2097,1091,1881,1524,2313
394,03801.jpg,156,3185,662,2910,393,3460,931
395,03801.jpg,156,3846,456,3667,326,4024,585
396,03801.jpg,480,1053,495,964,416,1141,574
397,03808.jpg,105,1533,575,1399,370,1666,780
