序号,文件名,虫子编号,中心点x坐标,中心点y坐标,左上角x坐标,左上角y坐标,右下角x坐标,右下角y坐标
35,00189.jpg,156,1712,668,1425,417,2000,920
36,00189.jpg,156,1647,2360,1261,2054,2033,2665
37,00189.jpg,105,1791,2592,1582,2249,2000,2934
38,00218.jpg,156,3356,500,3054,151,3657,849
39,00221.jpg,156,3853,1738,3499,1421,4207,2055
40,00222.jpg,156,4302,1307,3990,874,4614,1741
41,00222.jpg,41,4312,1293,3979,842,4646,1745
42,00223.jpg,256,3861,1915,3771,1714,3952,2117
43,00226.jpg,7,3652,2585,3492,2465,3812,2705
44,00226.jpg,480,1344,332,1078,167,1611,498
45,00250.jpg,156,1638,2416,1195,2008,2082,2824
46,00250.jpg,156,1509,3480,1159,3316,1860,3644
47,00260.jpg,392,4604,2327,4512,2198,4695,2456
48,00290.jpg,156,2105,1094,1683,731,2528,1458
49,00290.jpg,156,2017,1144,1687,846,2346,1443
50,00302.jpg,156,1827,3401,1587,3289,2067,3513
51,00302.jpg,480,1080,1273,913,1103,1247,1444
52,00302.jpg,480,1196,3496,1109,3331,1282,3661
53,00312.jpg,156,3310,3042,2866,2755,3753,3330
54,00312.jpg,156,3995,2539,3898,2437,4093,2642
55,00312.jpg,156,1539,2453,1065,1971,2013,2935
56,00319.jpg,156,4490,3201,4238,3025,4742,3377
57,00319.jpg,156,2574,826,2311,668,2838,984
58,00327.jpg,156,3795,3452,3615,3264,3975,3640
59,00327.jpg,156,4406,2578,4109,2378,4703,2778
60,00342.jpg,156,2862,2060,2720,1963,3004,2156
61,00376.jpg,480,4936,1794,4855,1695,5017,1893
62,00376.jpg,480,4622,722,4481,594,4762,850
63,00377.jpg,156,3577,111,3357,-2,3797,225
64,00391.jpg,156,2782,3071,2505,2851,3058,3291
65,00391.jpg,156,1764,201,1504,2,2024,399
66,00395.jpg,156,1454,1084,1150,868,1758,1299
67,00395.jpg,156,2937,3174,2711,2885,3162,3463
68,00395.jpg,156,1656,638,1367,400,1945,876
69,00395.jpg,156,3463,2570,3212,2316,3714,2824
70,00410.jpg,480,3935,2419,3878,2375,3992,2463
71,00434.jpg,156,3499,3610,3213,3570,3784,3651
72,00441.jpg,156,2975,1121,2762,918,3189,1325
73,00441.jpg,156,3203,2905,2965,2604,3442,3207
74,00441.jpg,156,2604,2432,2283,2189,2925,2676
75,00441.jpg,156,1745,1814,1330,1425,2159,2203
76,00452.jpg,156,2609,1331,2300,1103,2917,1558
77,00452.jpg,156,4251,815,3860,393,4641,1238
78,00452.jpg,105,1532,1080,1436,981,1628,1180
79,00462.jpg,156,4168,2665,3857,2501,4479,2828
80,00462.jpg,156,2296,1908,2092,1751,2500,2065
81,00462.jpg,25,2297,1907,2095,1750,2500,2065
82,00487.jpg,156,3105,1274,2946,1159,3264,1390
83,00487.jpg,156,2058,1591,1861,1450,2255,1733
84,00487.jpg,25,1839,766,1571,542,2107,990
85,00512.jpg,156,2319,3062,2144,2942,2494,3183
86,00518.jpg,156,3762,2283,3543,2183,3981,2383
87,00535.jpg,256,3564,3284,3102,3029,4026,3539
88,00564.jpg,480,1499,3407,1238,3225,1760,3589
89,00580.jpg,156,4116,2119,3856,1737,4377,2500
90,00596.jpg,7,3440,2891,3340,2676,3541,3105
91,00596.jpg,480,4611,2830,4545,2713,4677,2946
92,00596.jpg,480,2227,129,2116,33,2337,225
93,00596.jpg,387,3277,2157,3220,2055,3334,2260
94,00603.jpg,156,3323,1608,2994,1304,3652,1912
95,00603.jpg,156,1322,409,1026,-16,1619,834
96,00603.jpg,156,2430,3069,2110,2736,2750,3402
97,00603.jpg,156,3572,2146,3230,1811,3913,2482
98,00606.jpg,228,1317,361,1102,139,1532,583
99,00606.jpg,156,2692,374,2391,29,2994,719
100,00606.jpg,480,2734,1731,2532,1526,2935,1937
101,00607.jpg,7,4477,3347,4231,3242,4723,3453
102,00607.jpg,7,3575,74,3398,1,3753,147
103,00607.jpg,256,4927,1950,4859,1826,4995,2074
104,00609.jpg,156,2353,2316,2184,2153,2521,2479
105,00635.jpg,105,1928,1687,1650,1496,2207,1877
106,00641.jpg,156,3325,596,3047,360,3602,832
107,00641.jpg,156,3797,943,3609,794,3984,1092
108,00661.jpg,148,3205,1593,3102,1409,3308,1776
109,00667.jpg,156,1492,865,1207,661,1776,1070
110,00667.jpg,480,1225,2089,1043,1816,1408,2363
111,00701.jpg,480,4029,1551,3924,1462,4134,1641
112,00704.jpg,280,4921,3182,4654,2931,5187,3433
113,00715.jpg,156,3939,2199,3796,2041,4083,2357
114,00715.jpg,156,4736,1976,4359,1673,5114,2278
115,00724.jpg,228,3484,620,3313,475,3655,764
116,00724.jpg,25,2301,2934,2019,2580,2583,3288
117,00753.jpg,156,2122,1806,1881,1634,2363,1979
118,00785.jpg,156,3876,2773,3741,2586,4011,2960
119,00786.jpg,7,2596,1965,2418,1745,2774,2184
120,00786.jpg,392,2842,3382,2607,3196,3078,3569
121,00787.jpg,156,3899,65,3659,1,4139,129
122,00792.jpg,156,4582,2497,4256,2246,4908,2747
123,00792.jpg,156,3897,2571,3562,2322,4232,2819
124,00795.jpg,156,4065,3078,3987,2965,4144,3191
125,00795.jpg,480,2561,53,2475,0,2647,106
126,00795.jpg,480,1546,510,1431,352,1662,667
127,00821.jpg,387,1083,1170,971,1011,1195,1329
128,00828.jpg,156,3938,1536,3512,1281,4365,1790
129,00831.jpg,156,2375,1480,2080,1179,2671,1781
130,00831.jpg,156,4192,746,3825,343,4558,1149
131,00831.jpg,156,2953,1883,2710,1653,3196,2114
132,00831.jpg,156,3119,2030,2897,1791,3342,2269
133,00831.jpg,156,3067,1354,2713,1079,3420,1629
134,00837.jpg,156,3617,3541,3329,3436,3905,3646
135,00837.jpg,156,2908,2764,2716,2624,3099,2904
136,00846.jpg,7,1092,1388,987,1216,1197,1561
137,00861.jpg,480,3939,2470,3881,2419,3997,2520
138,00861.jpg,480,1331,468,1242,393,1419,543
139,00861.jpg,105,3928,264,3599,12,4257,515
140,00880.jpg,7,4466,279,4300,128,4631,430
141,00880.jpg,156,1747,1018,1263,605,2230,1431
142,00881.jpg,256,2968,1439,2641,1063,3296,1815
143,00881.jpg,8,3666,1803,3514,1676,3818,1931
144,00881.jpg,8,3786,1836,3516,1671,4056,2000
145,00889.jpg,7,2496,627,2290,392,2702,862
146,00889.jpg,156,3776,2602,3526,2402,4026,2801
147,00889.jpg,256,1377,3586,1326,3523,1429,3650
148,00889.jpg,148,2992,2135,2889,2073,3096,2197
149,00900.jpg,480,3933,2299,3872,2254,3994,2344
150,00907.jpg,156,1736,909,1417,637,2055,1180
151,00907.jpg,480,3987,3468,3929,3414,4044,3521
152,00908.jpg,156,3562,933,3279,702,3845,1164
153,00908.jpg,156,2537,2151,2237,1903,2836,2400
154,00908.jpg,156,3868,1353,3631,1220,4106,1486
155,00925.jpg,156,3677,76,3435,0,3918,152
156,00929.jpg,156,4150,2688,3816,2423,4484,2952
157,00929.jpg,156,4216,3378,3718,3110,4715,3647
158,00943.jpg,398,2933,1579,2853,1457,3013,1702
159,00953.jpg,156,1374,1976,1242,1886,1505,2066
160,00953.jpg,280,3447,3510,3254,3369,3641,3652
161,00953.jpg,392,3349,2638,3195,2472,3504,2804
162,00965.jpg,480,3856,1085,3778,1013,3934,1157
163,00969.jpg,105,4488,1015,4394,865,4582,1164
164,00969.jpg,392,4233,2300,3956,2029,4511,2571
165,00981.jpg,156,3027,1808,2832,1685,3223,1931
166,00981.jpg,156,3916,3554,3635,3458,4196,3649
167,00981.jpg,156,1242,2754,1005,2541,1478,2968
168,00993.jpg,480,3934,2193,3873,2148,3994,2238
169,01017.jpg,392,4609,1100,4405,917,4814,1284
170,01019.jpg,156,3626,2670,3211,2275,4042,3065
171,01019.jpg,156,2276,877,2124,673,2428,1081
172,01019.jpg,387,646,2743,501,2576,791,2909
173,01021.jpg,480,2131,1004,2046,858,2216,1151
174,01045.jpg,156,4172,1317,3930,1015,4413,1619
175,01045.jpg,156,3789,1127,3428,859,4151,1395
176,01051.jpg,156,2743,1550,2458,1353,3028,1747
177,01054.jpg,156,4554,160,4337,-9,4772,329
178,01054.jpg,156,2479,1149,2022,784,2935,1513
179,01070.jpg,387,1775,2999,1617,2788,1932,3211
180,01071.jpg,156,4465,187,4008,-1,4921,376
181,01071.jpg,156,3561,169,3181,-2,3941,341
182,01101.jpg,156,4301,1859,3963,1682,4638,2035
183,01110.jpg,156,3036,1787,2632,1321,3441,2252
184,01110.jpg,156,2110,1524,1948,1358,2272,1691
185,01136.jpg,156,4012,364,3755,152,4268,577
186,01138.jpg,256,1829,3477,1709,3309,1948,3646
187,01140.jpg,156,3242,2751,3067,2616,3417,2887
188,01140.jpg,156,1722,3095,1585,3002,1860,3187
189,01140.jpg,156,3466,782,3172,551,3760,1013
190,01144.jpg,156,3892,3048,3500,2689,4284,3407
191,01180.jpg,156,1497,1013,1241,804,1752,1223
192,01200.jpg,156,4596,3530,4509,3413,4682,3648
193,01213.jpg,156,2690,3486,2527,3329,2852,3644
194,01249.jpg,105,2822,1862,2721,1644,2922,2079
195,01260.jpg,156,2863,3157,2513,2807,3212,3507
196,01289.jpg,156,1254,2235,1041,1976,1466,2494
197,01294.jpg,156,2250,186,1984,4,2516,369
198,01294.jpg,156,4089,2082,3783,1798,4396,2365
199,01294.jpg,156,4316,1718,3977,1475,4654,1961
200,01300.jpg,280,3628,871,3412,686,3844,1055
201,01353.jpg,156,1849,2989,1522,2554,2176,3424
202,01361.jpg,387,3643,2442,3535,2295,3750,2590
203,01373.jpg,156,3832,547,3410,156,4255,938
204,01385.jpg,156,1612,667,1366,460,1858,875
205,01385.jpg,156,1972,665,1782,520,2162,810
206,01385.jpg,156,4212,787,3976,590,4448,984
207,01385.jpg,156,4433,408,4192,271,4673,546
208,01405.jpg,7,3672,3013,3527,2889,3817,3136
209,01405.jpg,480,4202,1045,4058,885,4346,1206
210,01411.jpg,480,3933,2150,3872,2106,3993,2194
211,01419.jpg,256,1553,183,1406,13,1700,353
212,01419.jpg,256,2280,2499,2228,2393,2332,2604
213,01419.jpg,398,2892,3373,2811,3283,2973,3463
214,01423.jpg,228,2254,1898,2104,1791,2404,2004
215,01423.jpg,156,3007,3617,2901,3584,3112,3650
216,01447.jpg,156,2215,3200,1957,3005,2474,3394
217,01460.jpg,256,3346,3583,3288,3513,3404,3654
218,01471.jpg,480,4557,799,4456,693,4658,905
219,01553.jpg,156,3345,633,3079,358,3612,907
220,01553.jpg,156,2476,1967,2224,1752,2728,2182
221,01553.jpg,156,2772,918,2503,655,3041,1180
222,01560.jpg,256,3837,1277,3744,1077,3929,1476
223,01565.jpg,156,1501,1682,1026,1240,1976,2125
224,01589.jpg,156,4491,2010,4259,1614,4722,2407
225,01589.jpg,156,2196,1984,1833,1655,2560,2313
226,01589.jpg,156,1521,3309,1156,2978,1885,3640
227,01589.jpg,156,4378,1209,4127,928,4629,1490
228,01589.jpg,156,2769,1768,2499,1389,3039,2146
229,01589.jpg,156,2086,1044,1718,790,2455,1298
230,01595.jpg,41,4262,3460,4034,3272,4490,3649
231,01595.jpg,256,2756,438,2526,295,2987,580
232,01631.jpg,25,2272,640,2004,390,2541,889
233,01668.jpg,7,4576,266,4467,148,4686,383
234,01668.jpg,156,2562,3034,2408,2869,2717,3198
235,01668.jpg,156,2231,1077,1882,680,2581,1474
236,01668.jpg,156,2066,1596,1913,1502,2219,1690
237,01668.jpg,156,3159,2219,2915,2016,3404,2423
238,01668.jpg,156,2826,2254,2539,1993,3112,2514
239,01668.jpg,156,2761,3401,2544,3161,2977,3641
240,01668.jpg,480,1263,1532,1021,1294,1505,1771
241,01668.jpg,25,1408,773,1122,544,1695,1002
242,01702.jpg,156,2956,3472,2861,3424,3051,3520
243,01707.jpg,156,1724,523,1600,426,1847,620
244,01707.jpg,156,2253,358,2062,206,2443,509
245,01707.jpg,156,2056,848,1827,758,2284,939
246,01707.jpg,156,3416,868,3206,723,3626,1012
247,01707.jpg,156,3330,2533,3098,2406,3563,2661
248,01707.jpg,480,4332,1311,4134,1115,4530,1507
249,01707.jpg,480,4002,1694,3866,1455,4137,1934
250,01715.jpg,156,4327,151,4147,1,4506,300
251,01715.jpg,156,2525,3297,2267,3015,2783,3579
252,01715.jpg,156,3611,2504,3401,2289,3820,2718
253,01715.jpg,156,3608,88,3334,0,3881,176
254,01715.jpg,105,2123,1860,2039,1745,2208,1976
255,01739.jpg,480,1943,314,1851,209,2036,418
256,01752.jpg,156,4498,1758,4260,1459,4735,2058
257,01758.jpg,398,1824,3464,1673,3315,1974,3614
258,01775.jpg,156,2390,1458,1952,1123,2828,1794
259,01775.jpg,156,4209,3288,3926,3040,4491,3536
260,01775.jpg,156,4439,2513,4165,2306,4713,2721
261,01793.jpg,256,3866,1956,3757,1755,3974,2157
262,01797.jpg,156,3667,2756,3372,2319,3961,3192
263,01803.jpg,156,2156,3498,1902,3348,2410,3648
264,01803.jpg,156,2403,569,2153,420,2653,719
265,01803.jpg,480,2175,275,1955,68,2396,482
266,01804.jpg,156,2487,1335,2253,1098,2721,1573
267,01804.jpg,480,3399,1688,3228,1571,3570,1805
268,01808.jpg,156,3807,2379,3458,2069,4156,2689
269,01838.jpg,156,3684,499,3201,162,4166,836
270,01838.jpg,156,2020,409,1897,323,2143,495
271,01883.jpg,156,3074,2713,2842,2482,3307,2943
272,01883.jpg,156,2849,3554,2581,3461,3118,3647
273,01883.jpg,156,3049,1121,2800,979,3298,1264
274,01883.jpg,480,3638,371,3528,266,3747,476
275,01889.jpg,156,4285,2906,3924,2518,4646,3293
276,01889.jpg,156,3834,3442,3654,3234,4014,3651
277,01893.jpg,156,3891,1075,3772,1005,4010,1145
278,01945.jpg,156,2358,1572,2095,1362,2621,1782
279,01945.jpg,156,2718,928,2551,704,2884,1152
280,01945.jpg,105,2032,3455,1771,3252,2294,3659
281,01947.jpg,480,2021,660,1933,580,2110,740
282,01947.jpg,392,1353,3240,1305,3184,1400,3297
283,01963.jpg,156,1485,340,1097,-1,1873,682
284,01967.jpg,156,4182,2446,3976,2302,4389,2590
285,01973.jpg,156,1887,2143,1699,1988,2075,2298
286,01975.jpg,156,3898,586,3739,455,4057,717
287,01975.jpg,156,2666,444,2392,251,2940,637
288,01976.jpg,256,1123,1097,997,937,1250,1257
289,01988.jpg,156,4417,1218,4256,1112,4578,1323
290,01997.jpg,156,2029,1139,1656,811,2402,1466
291,02003.jpg,156,2483,1264,2224,978,2741,1551
292,02003.jpg,256,2547,686,2463,568,2632,805
293,02021.jpg,156,4357,937,4170,723,4544,1152
294,02040.jpg,41,1403,3363,1112,3070,1695,3656
295,02043.jpg,480,2047,2069,1964,1988,2131,2150
296,02046.jpg,156,1410,858,1071,474,1749,1243
297,02046.jpg,156,3175,372,2749,54,3602,691
298,02046.jpg,156,1378,105,1117,1,1640,208
299,02046.jpg,156,4454,1674,4275,1521,4633,1826
300,02046.jpg,105,3120,2260,2866,1981,3373,2539
301,02058.jpg,156,4542,1968,4442,1865,4641,2071
302,02068.jpg,156,4143,812,3741,473,4544,1150
303,02072.jpg,480,1723,342,1534,160,1912,523
304,02087.jpg,480,2067,2875,1987,2797,2147,2953
305,02088.jpg,156,3230,439,2942,241,3518,638
306,02093.jpg,156,3103,370,2973,295,3233,446
307,02133.jpg,156,2533,3302,2067,3008,3000,3595
308,02133.jpg,148,2561,378,2304,92,2818,664
309,02181.jpg,156,2765,2717,2368,2450,3161,2984
310,02181.jpg,156,4171,2835,3711,2487,4630,3183
311,02189.jpg,7,1313,1834,1164,1714,1461,1954
312,02189.jpg,156,3537,2342,3359,2236,3715,2447
313,02189.jpg,156,3737,87,3541,0,3934,174
314,02189.jpg,115,3137,1298,2963,1033,3312,1562
315,02192.jpg,156,4430,3597,4108,3542,4751,3653
316,02192.jpg,480,2537,2477,2467,2416,2607,2539
317,02225.jpg,156,2370,1573,2127,1336,2614,1811
318,02225.jpg,156,3001,1830,2782,1617,3220,2042
319,02225.jpg,105,4605,1372,4481,1142,4729,1602
320,02230.jpg,156,3292,199,2885,-7,3699,406
321,02230.jpg,156,4223,859,3796,452,4651,1266
322,02246.jpg,156,1675,3501,1494,3354,1856,3648
323,02246.jpg,148,3502,1386,3354,1284,3650,1487
324,02263.jpg,156,1533,1214,1183,840,1882,1587
325,02277.jpg,156,1880,1823,1735,1595,2026,2051
326,02317.jpg,156,2469,1577,2303,1477,2636,1677
327,02317.jpg,156,2800,818,2643,684,2958,953
328,02317.jpg,256,4413,985,4268,628,4558,1343
329,02317.jpg,105,2878,1286,2589,1106,3167,1466
330,02345.jpg,7,3863,1774,3763,1697,3964,1852
331,02345.jpg,156,2134,2653,1832,2452,2437,2854
332,02345.jpg,256,4441,3349,4384,3239,4497,3459
333,02356.jpg,7,1104,1895,870,1739,1338,2051
334,02356.jpg,156,1250,3513,986,3380,1515,3645
335,02356.jpg,156,2557,1692,2196,1431,2918,1954
336,02356.jpg,480,4381,285,4167,116,4596,453
337,02358.jpg,156,2222,1669,1915,1329,2528,2008
338,02365.jpg,156,1602,2185,1166,1816,2038,2555
339,02372.jpg,25,4203,3132,3901,2912,4505,3352
340,02377.jpg,156,3075,2486,2719,2098,3431,2874
341,02377.jpg,156,3799,1625,3464,1225,4133,2025
342,02377.jpg,156,2471,442,2197,197,2744,688
343,02377.jpg,156,4028,3526,3813,3404,4242,3648
344,02388.jpg,156,4526,280,4125,-1,4927,563
345,02388.jpg,156,4170,1262,4011,1168,4330,1355
346,02388.jpg,156,2384,383,1941,-10,2828,777
347,02388.jpg,156,3246,75,2905,1,3587,150
348,02390.jpg,280,3080,2214,2793,2054,3368,2374
349,02406.jpg,280,3030,2509,2790,2321,3271,2697
350,02406.jpg,105,3891,1622,3643,1338,4139,1907
351,02406.jpg,394,3848,597,3716,450,3980,745
352,02457.jpg,8,4596,1876,4487,1730,4704,2022
353,02463.jpg,156,2768,2848,2518,2594,3019,3103
354,02465.jpg,156,2918,190,2679,-1,3156,381
355,02465.jpg,156,1902,2053,1602,1809,2202,2296
356,02480.jpg,7,2668,3044,2565,2948,2771,3141
357,02490.jpg,235,2519,1599,2429,1482,2609,1716
358,02495.jpg,228,3845,644,3624,452,4067,836
359,02497.jpg,156,3435,3237,3281,3061,3590,3414
360,02544.jpg,156,1668,1529,1496,1325,1840,1732
361,02544.jpg,156,2857,1503,2605,1260,3109,1746
362,02544.jpg,398,2923,3455,2788,3335,3058,3575
363,02560.jpg,156,4212,3165,3855,2864,4569,3466
364,02560.jpg,156,1974,2480,1473,2098,2474,2862
365,02560.jpg,156,3788,1381,3656,1262,3921,1501
366,02560.jpg,156,3112,3317,2836,3108,3387,3525
367,02563.jpg,156,1280,3139,1101,3013,1459,3266
368,02590.jpg,105,2779,3177,2678,3060,2879,3294
369,02612.jpg,156,3827,713,3571,553,4084,872
370,02612.jpg,156,3395,2715,3170,2486,3621,2944
371,02612.jpg,256,2956,366,2847,185,3065,548
372,02634.jpg,156,2650,3148,2432,3021,2868,3275
373,02634.jpg,480,3777,2604,3708,2505,3846,2703
374,02641.jpg,480,3936,2264,3875,2220,3998,2308
375,02667.jpg,156,2359,3390,2226,3251,2492,3529
376,02667.jpg,156,3547,2446,3365,2335,3728,2557
377,02667.jpg,156,1334,915,1199,757,1469,1073
378,02667.jpg,156,4061,132,3959,2,4163,263
379,02667.jpg,398,2399,189,2217,-7,2581,385
380,02667.jpg,105,3149,2553,2858,2251,3439,2855
381,02682.jpg,228,4181,491,3915,185,4447,797
382,02688.jpg,156,3891,466,3528,154,4254,779
383,02688.jpg,156,1525,139,1260,-2,1790,281
384,02688.jpg,156,2044,3189,1731,2835,2356,3543
385,02688.jpg,156,4453,2353,4189,2070,4717,2637
386,02688.jpg,156,1835,1368,1473,1082,2197,1654
387,02688.jpg,156,3235,1154,2777,793,3692,1515
388,02688.jpg,156,1794,2148,1551,1821,2037,2474
389,02688.jpg,156,4174,1095,3809,740,4540,1451
390,02688.jpg,156,1712,2767,1369,2450,2056,3083
391,02688.jpg,156,3982,1994,3599,1769,4364,2219
392,02688.jpg,156,3153,2562,2813,2174,3494,2951
393,02688.jpg,156,2653,2143,2407,1784,2899,2501
394,02688.jpg,156,2662,1902,2465,1637,2859,2167
395,02688.jpg,156,4037,292,3531,-3,4544,588
396,02688.jpg,156,3733,2949,3333,2645,4133,3253
397,02688.jpg,156,4344,447,4061,301,4627,594
398,02695.jpg,480,4267,546,4086,317,4447,774
399,02706.jpg,156,1912,1883,1634,1590,2190,2176
400,02706.jpg,156,2619,2093,2249,1761,2989,2425
401,02706.jpg,156,2018,1612,1826,1478,2211,1745
402,02714.jpg,156,2723,2782,2499,2542,2946,3023
403,02722.jpg,7,4260,2054,4104,1910,4416,2198
404,02722.jpg,387,2141,1399,2019,1209,2263,1590
405,02735.jpg,156,1342,3534,1146,3423,1539,3646
406,02736.jpg,156,3393,805,3096,504,3690,1106
407,02743.jpg,7,4332,2919,4184,2755,4479,3084
408,02743.jpg,228,1463,3329,1225,3080,1700,3578
409,02743.jpg,156,1960,2555,1782,2285,2138,2824
410,02743.jpg,156,2268,1060,2030,858,2505,1261
411,02753.jpg,156,3831,3347,3461,3040,4202,3654
412,02762.jpg,156,3056,3566,2925,3485,3187,3647
413,02773.jpg,156,1570,3125,1302,2846,1838,3405
414,02773.jpg,156,3738,522,3543,347,3932,698
415,02773.jpg,280,3052,3233,2853,3077,3251,3389
416,02776.jpg,156,4469,1725,4316,1605,4622,1845
417,02805.jpg,156,2110,803,1888,573,2332,1034
418,02805.jpg,398,2793,1272,2684,1161,2902,1382
419,02831.jpg,156,1347,86,1210,7,1483,166
420,02832.jpg,156,4361,2025,3902,1681,4821,2369
421,02832.jpg,156,1367,2617,1031,2261,1704,2974
422,02832.jpg,156,1792,514,1597,391,1987,637
423,02859.jpg,156,3918,1964,3673,1849,4163,2079
424,02889.jpg,392,2952,3073,2892,3017,3011,3129
425,02924.jpg,156,1995,759,1848,559,2143,959
426,02938.jpg,156,1541,1538,1346,1361,1736,1716
427,02938.jpg,256,2059,2352,1997,2238,2121,2466
428,02951.jpg,480,2934,1526,2800,1372,3067,1680
429,02952.jpg,156,3132,534,2852,187,3412,881
430,02952.jpg,156,4494,60,4361,0,4627,119
431,02977.jpg,156,3700,1416,3487,1046,3913,1785
432,02989.jpg,8,926,303,838,235,1014,370
433,03000.jpg,156,3429,1054,3025,729,3832,1380
434,03000.jpg,156,3520,3393,3199,3131,3842,3655
435,03002.jpg,156,1886,492,1400,125,2373,858
436,03003.jpg,7,2629,1026,2527,938,2730,1114
437,03003.jpg,256,3881,2804,3794,2610,3969,2997
438,03031.jpg,394,4198,287,4052,126,4344,448
439,03043.jpg,156,1844,1087,1485,799,2203,1376
440,03043.jpg,156,4046,1236,3762,925,4330,1548
441,03043.jpg,105,3450,1967,3353,1838,3548,2095
442,03045.jpg,392,1065,1332,914,1150,1216,1514
443,03103.jpg,156,3889,1227,3598,958,4180,1495
444,03103.jpg,156,2590,357,2307,135,2872,579
445,03107.jpg,156,1454,3414,1109,3182,1799,3646
446,03107.jpg,156,3962,1193,3785,986,4139,1401
447,03107.jpg,105,2232,2748,2041,2491,2424,3005
448,03107.jpg,392,818,2529,688,2279,949,2778
449,03113.jpg,156,2842,1029,2648,865,3037,1192
450,03119.jpg,156,2179,2334,1959,2117,2400,2552
451,03119.jpg,480,1889,3310,1820,3196,1959,3423
452,03124.jpg,156,3562,3574,3360,3498,3764,3649
453,03139.jpg,7,3550,83,3356,0,3744,167
454,03139.jpg,156,2850,2848,2674,2721,3026,2976
455,03139.jpg,156,2354,2126,2157,2001,2551,2250
456,03139.jpg,156,3392,682,3161,522,3623,842
457,03139.jpg,256,1970,370,1750,0,2190,740
458,03139.jpg,256,3166,410,3082,320,3251,500
459,03140.jpg,480,2047,1944,1956,1863,2138,2025
460,03159.jpg,156,3368,971,3045,740,3690,1202
461,03181.jpg,7,2833,3433,2612,3221,3054,3646
462,03194.jpg,156,2674,1066,2500,922,2847,1210
463,03228.jpg,148,3112,633,2997,568,3227,699
464,03245.jpg,156,3697,2089,3416,1904,3977,2274
465,03304.jpg,156,1854,288,1571,-7,2137,584
466,03304.jpg,156,2164,2694,1826,2458,2501,2930
467,03304.jpg,156,1825,1120,1404,678,2245,1561
468,03304.jpg,156,3114,92,2859,-1,3370,185
469,03304.jpg,156,4686,325,4251,4,5121,645
470,03304.jpg,156,3694,158,3334,0,4055,317
471,03322.jpg,156,1481,2320,1246,2223,1717,2417
472,03322.jpg,256,3954,373,3872,328,4037,417
473,03339.jpg,156,3148,2905,2697,2543,3599,3266
474,03339.jpg,156,1993,1452,1806,1239,2180,1665
475,03353.jpg,480,2668,329,2555,246,2781,412
476,03354.jpg,156,2574,681,2437,509,2712,854
477,03354.jpg,156,1355,444,1079,202,1632,685
478,03354.jpg,156,1561,180,1351,5,1771,356
479,03363.jpg,156,2491,3071,2270,2874,2713,3268
480,03386.jpg,156,3571,1137,3244,781,3898,1494
481,03386.jpg,156,3338,2479,3070,2313,3605,2646
482,03417.jpg,156,2862,1024,2474,721,3250,1328
483,03417.jpg,156,2302,1492,1873,1122,2731,1861
484,03417.jpg,156,3770,252,3504,20,4037,484
485,03417.jpg,156,1329,3555,1159,3464,1499,3647
486,03417.jpg,156,3948,1073,3648,804,4249,1341
487,03417.jpg,156,1983,3563,1741,3478,2224,3647
488,03417.jpg,156,3176,2948,2967,2705,3385,3192
489,03417.jpg,105,1818,2067,1546,1870,2089,2264
490,03447.jpg,156,4337,2432,3947,1999,4728,2865
491,03465.jpg,156,4522,2878,4279,2609,4765,3146
492,03470.jpg,156,2118,85,1953,0,2283,169
